#,Brand,Ball Name,Pin Location,Cover,Core,VLS,PAP,PSA,Val,Dual Angle,Drill Angle,PAP,Val,Total Angle,Specs,RG,Diff,PSA,Surface
1,900 Global,Reality Check #1,Up,Hybrid,Asym,,3.75,4.5,1.5,,49,3.75,27,76,,2.49,0.052,0.018,4000
2,900 Global,Reality Check #2,Up,Hybrid,Asym,,4.25,6.25,1.125,,82,4.25,18,100,,2.49,0.052,0.018,4000
3,Motiv,Venom Blue Coral,Up,Hybrid,Asym,,4.5,3.75,2.625,,42,4.5,41,83,,2.47,0.036,0.013,4000
4,Storm,Absolute,Up,Hybrid,Asym,,4.25,5.375,2.125,,68,4.25,35,103,,2.48,0.05,0.021,4000
5,Brunswick,Crown Victory,Up,Hybrid,Sym,,4.812,N/A,2.75,,75,4.812,42,117,,2.54,0.045,N/A,Compound
6,Storm,HyRoad #1,Up,Hybrid,Sym,,5.125,N/A,3,,76,5.125,44,120,,2.57,0.046,N/A,3000
7,Storm,HyRoad #2,Up,Hybrid,Sym,,5.125,N/A,3.25,,76,5.125,48,124,,2.57,0.046,N/A,4000
8,Storm,All Road,Up,Hybrid,Sym,,4.25,N/A,2.5,,74,4.25,41,115,,2.57,0.046,N/A,4000
9,Storm,All Road SP,Short,Hybrid,Sym,,1.937,N/A,1.875,,58,1.937,76,134,,2.57,0.046,N/A,4000
10,Storm,Code Black,Up,Pearl,Asym,,3.625,4.25,1.375,,43,3.625,25,68,,2.5,0.058,0.02,Compound
11,Storm,Dark Code,Up,Pearl,Asym,,4.437,4,2.375,,46,4.437,38,84,,2.5,0.058,0.02,1500 Polish
12,Storm,Infinite Physix,Up,Pearl,Asym,,2.375,5.25,1.25,,49,2.375,33,82,,2.48,0.053,0.017,4000
13,Storm,Equinox,Up,Pearl,Asym,,5,4,3,,49,5,44,93,,2.48,0.054,0.018,4000
14,Storm,DNA Coil,Up,Pearl,Asym,,5,4,2,,49,5,29,78,,2.47,0.053,0.023,4000
15,Storm,Physix Blackout,Short,Pearl,Asym,,2.25,6,1.25,,70,2.25,35,105,,2.47,0.055,0.018,4000
16,Storm,Vitual Energy Blackout,Up,Pearl,Asym,,4,4,3,,42,4,53,95,,2.48,0.052,0.02,4000
17,Roto Grip,Gremlin,Up,Pearl,Asym,,4.5,4,2.75,,46,4.5,44,90,,2.5,0.058,0.01,Polish
18,Storm,Next Factor,Up,Pearl,Asym,,5,4,2.687,,49,5,40,89,,2.56,0.051,0.017,Polish
19,Roto Grip,Exotic Gem #1,Up,Pearl,Asym,,3.75,4.5,1.625,,49,3.75,29,78,,2.47,0.053,0.016,Polish
20,Roto Grip,Exotic Gem #2,Down,Pearl,Asym,,3.687,6,3.5,,77,3.687,74,151,,2.47,0.053,0.016,Polish
21,Motiv,Evoke Hysteria,Up,Pearl,Asym,,5.75,5.25,3.5,,69,5.75,48,117,,2.48,0.05,0.015,4000
22,900 Global,Zen Gold Label,Up,Pearl,Sym,,5,N/A,2,,75,5,29,104,,2.49,0.051,N/A,Polish
23,Storm,Typhoon,Up,Pearl,Sym,,5,N/A,4,,75,5,61,136,,2.53,0.042,N/A,Polish
24,900 Global,Zen 25,Up,Pearl,Sym,,5,N/A,2.5,,75,5,37,112,,2.48,0.053,N/A,4000
25,900 Global,Ember,Up,Pearl,Sym,,5.25,N/A,1.75,,76,5.25,25,101,,2.49,0.044,N/A,Polish
26,Storm,HyRoad 40,Short,Pearl,Sym,,2.25,N/A,2.25,,63,2.25,90,153,,2.57,0.046,N/A,Polish
27,Storm,Ion Pro,Down,Solid,Asym,,4.5,4,4,,46,4.5,68,114,,2.47,0.035,0.014,5000
28,900 Global,Zen Master #1,Up,Solid,Sym,,3.625,N/A,1.312,,72,3.625,24,96,,2.49,0.051,N/A,4000
29,900 Global,Zen Master #2,Up,Solid,Sym,,5.125,N/A,2.25,,76,5.125,33,109,,2.49,0.051,N/A,4000
30,Storm,Phaze 2,Up,Solid,Sym,,5,N/A,2.375,,75,5,35,110,,2.48,0.051,N/A,4000
31,Storm,Level,Up,Solid,Sym,,4.75,N/A,2.75,,75,4.75,42,117,,2.59,0.027,N/A,4000
32,Motiv,Venom Shock #1,Up,Solid,Sym,,4.875,N/A,2.875,,75,4.875,43,118,,2.48,0.034,N/A,4000
33,Motiv,Venom Shock #2,Up,Solid,Sym,,5.25,N/A,3,,76,5.25,43,119,,2.48,0.034,N/A,4000
34,Roto Grip,Hustle Camo,Up,Solid,Sym,,4.5,N/A,2.5,,75,4.5,39,114,,2.53,0.03,N/A,4000
35,Storm,ProMotion,Up,Solid,Sym,,4.75,N/A,2.75,,75,4.75,42,117,,2.52,0.049,N/A,4000
